FSRQ,DWJZ,LJJZ,SDATE,ACTUALSYI,NAVTYPE,JZZZL,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP
2022-04-29,0.7590,0.7590,,,1,11.34,开放申购,开放赎回,,,,
2022-04-28,0.6817,0.6817,,,1,2.19,开放申购,开放赎回,,,,
2022-04-27,0.6671,0.6671,,,1,1.69,开放申购,开放赎回,,,,
2022-04-26,0.6560,0.6560,,,1,3.91,开放申购,开放赎回,,,,
2022-04-25,0.6313,0.6313,,,1,-4.16,开放申购,开放赎回,,,,
2022-04-22,0.6587,0.6587,,,1,0.78,开放申购,开放赎回,,,,
2022-04-21,0.6536,0.6536,,,1,-3.58,开放申购,开放赎回,,,,
2022-04-20,0.6779,0.6779,,,1,-0.07,开放申购,开放赎回,,,,
2022-04-19,0.6784,0.6784,,,1,-3.51,开放申购,开放赎回,,,,
2022-04-18,0.7031,0.7031,,,1,-0.21,暂停申购,暂停赎回,,,,
2022-04-15,0.7046,0.7046,,,1,0.48,暂停申购,暂停赎回,,,,
2022-04-14,0.7012,0.7012,,,1,-0.06,开放申购,开放赎回,,,,
2022-04-13,0.7016,0.7016,,,1,0.65,开放申购,开放赎回,,,,
2022-04-12,0.6971,0.6971,,,1,1.63,开放申购,开放赎回,,,,
2022-04-11,0.6859,0.6859,,,1,-5.05,开放申购,开放赎回,,,,
2022-04-08,0.7224,0.7224,,,1,-1.23,开放申购,开放赎回,,,,
2022-04-07,0.7314,0.7314,,,1,-2.65,开放申购,开放赎回,,,,
2022-04-06,0.7513,0.7513,,,1,1.50,开放申购,开放赎回,,,,
2022-04-01,0.7402,0.7402,,,1,-0.72,开放申购,开放赎回,,,,
2022-03-31,0.7456,0.7456,,,1,-1.45,开放申购,开放赎回,,,,
2022-03-30,0.7566,0.7566,,,1,-0.41,开放申购,开放赎回,,,,
2022-03-29,0.7597,0.7597,,,1,2.15,开放申购,开放赎回,,,,
2022-03-28,0.7437,0.7437,,,1,2.85,开放申购,开放赎回,,,,
2022-03-25,0.7231,0.7231,,,1,-4.55,开放申购,开放赎回,,,,
2022-03-24,0.7576,0.7576,,,1,-2.96,开放申购,开放赎回,,,,
2022-03-23,0.7807,0.7807,,,1,2.60,开放申购,开放赎回,,,,
2022-03-22,0.7609,0.7609,,,1,5.42,限制大额申购,开放赎回,,,,
2022-03-21,0.7218,0.7218,,,1,-1.77,限制大额申购,开放赎回,,,,
2022-03-18,0.7348,0.7348,,,1,-1.92,限制大额申购,开放赎回,,,,
2022-03-17,0.7492,0.7492,,,1,7.40,限制大额申购,开放赎回,,,,
2022-03-16,0.6976,0.6976,,,1,22.80,限制大额申购,开放赎回,,,,
2022-03-15,0.5681,0.5681,,,1,-7.29,限制大额申购,开放赎回,,,,
2022-03-14,0.6128,0.6128,,,1,-10.07,开放申购,开放赎回,,,,
2022-03-11,0.6814,0.6814,,,1,-4.26,开放申购,开放赎回,,,,
2022-03-10,0.7117,0.7117,,,1,0.64,开放申购,开放赎回,,,,
2022-03-09,0.7072,0.7072,,,1,0.35,开放申购,开放赎回,,,,
2022-03-08,0.7047,0.7047,,,1,-2.87,开放申购,开放赎回,,,,
2022-03-07,0.7255,0.7255,,,1,-3.70,开放申购,开放赎回,,,,
2022-03-04,0.7534,0.7534,,,1,-4.32,开放申购,开放赎回,,,,
2022-03-03,0.7874,0.7874,,,1,-1.51,开放申购,开放赎回,,,,
2022-03-02,0.7995,0.7995,,,1,-1.61,开放申购,开放赎回,,,,
2022-03-01,0.8126,0.8126,,,1,0.31,开放申购,开放赎回,,,,
2022-02-28,0.8101,0.8101,,,1,-0.09,开放申购,开放赎回,,,,
2022-02-25,0.8108,0.8108,,,1,0.80,开放申购,开放赎回,,,,
2022-02-24,0.8044,0.8044,,,1,-4.08,开放申购,开放赎回,,,,
2022-02-23,0.8386,0.8386,,,1,1.06,开放申购,开放赎回,,,,
2022-02-22,0.8298,0.8298,,,1,-1.47,开放申购,开放赎回,,,,
2022-02-21,0.8422,0.8422,,,1,-2.53,开放申购,开放赎回,,,,
2022-02-18,0.8641,0.8641,,,1,-3.34,开放申购,开放赎回,,,,
2022-02-17,0.8940,0.8940,,,1,0.36,开放申购,开放赎回,,,,
2022-02-16,0.8908,0.8908,,,1,1.99,开放申购,开放赎回,,,,
2022-02-15,0.8734,0.8734,,,1,-0.09,开放申购,开放赎回,,,,
2022-02-14,0.8742,0.8742,,,1,-2.04,开放申购,开放赎回,,,,
2022-02-11,0.8924,0.8924,,,1,-1.13,开放申购,开放赎回,,,,
2022-02-10,0.9026,0.9026,,,1,0.97,开放申购,开放赎回,,,,
2022-02-09,0.8939,0.8939,,,1,4.01,开放申购,开放赎回,,,,
2022-02-08,0.8594,0.8594,,,1,-1.42,开放申购,开放赎回,,,,
2022-02-07,0.8718,0.8718,,,1,4.11,开放申购,开放赎回,,,,
2022-01-28,0.8374,0.8374,,,1,-0.59,开放申购,开放赎回,,,,
2022-01-27,0.8424,0.8424,,,1,-3.96,开放申购,开放赎回,,,,
2022-01-26,0.8771,0.8771,,,1,0.63,开放申购,开放赎回,,,,
2022-01-25,0.8716,0.8716,,,1,-2.21,开放申购,开放赎回,,,,
2022-01-24,0.8913,0.8913,,,1,-3.15,开放申购,开放赎回,,,,
2022-01-21,0.9203,0.9203,,,1,-0.24,开放申购,开放赎回,,,,
2022-01-20,0.9225,0.9225,,,1,4.36,开放申购,开放赎回,,,,
2022-01-19,0.8840,0.8840,,,1,-0.82,开放申购,开放赎回,,,,
2022-01-18,0.8913,0.8913,,,1,-0.69,开放申购,开放赎回,,,,
2022-01-17,0.8975,0.8975,,,1,-0.64,开放申购,开放赎回,,,,
2022-01-14,0.9033,0.9033,,,1,-0.17,开放申购,开放赎回,,,,
2022-01-13,0.9048,0.9048,,,1,-1.38,开放申购,开放赎回,,,,
2022-01-12,0.9175,0.9175,,,1,5.04,开放申购,开放赎回,,,,
2022-01-11,0.8735,0.8735,,,1,-0.19,开放申购,开放赎回,,,,
2022-01-10,0.8752,0.8752,,,1,1.84,开放申购,开放赎回,,,,
2022-01-07,0.8594,0.8594,,,1,2.10,开放申购,开放赎回,,,,
2022-01-06,0.8417,0.8417,,,1,1.13,开放申购,开放赎回,,,,
2022-01-05,0.8323,0.8323,,,1,-4.27,开放申购,开放赎回,,,,
2022-01-04,0.8694,0.8694,,,1,-1.40,开放申购,开放赎回,,,,
2021-12-31,0.8817,0.8817,,,1,3.71,开放申购,开放赎回,,,,
2021-12-30,0.8502,0.8502,,,1,0.04,开放申购,开放赎回,,,,
2021-12-29,0.8499,0.8499,,,1,-1.71,开放申购,开放赎回,,,,
2021-12-28,0.8647,0.8647,,,1,-0.60,开放申购,开放赎回,,,,
2021-12-27,0.8699,0.8699,,,1,-0.01,暂停申购,暂停赎回,,,,
2021-12-24,0.8700,0.8700,,,1,-0.43,开放申购,开放赎回,,,,
2021-12-23,0.8738,0.8738,,,1,-0.86,开放申购,开放赎回,,,,
2021-12-22,0.8814,0.8814,,,1,1.07,开放申购,开放赎回,,,,
2021-12-21,0.8721,0.8721,,,1,1.80,开放申购,开放赎回,,,,
2021-12-20,0.8567,0.8567,,,1,-2.67,开放申购,开放赎回,,,,
2021-12-17,0.8802,0.8802,,,1,-2.20,开放申购,开放赎回,,,,
2021-12-16,0.9000,0.9000,,,1,0.02,开放申购,开放赎回,,,,
2021-12-15,0.8998,0.8998,,,1,-1.21,开放申购,开放赎回,,,,
2021-12-14,0.9108,0.9108,,,1,-2.40,开放申购,开放赎回,,,,
2021-12-13,0.9332,0.9332,,,1,-0.16,开放申购,开放赎回,,,,
2021-12-10,0.9347,0.9347,,,1,-0.89,开放申购,开放赎回,,,,
2021-12-09,0.9431,0.9431,,,1,1.21,开放申购,开放赎回,,,,
2021-12-08,0.9318,0.9318,,,1,-0.45,开放申购,开放赎回,,,,
2021-12-07,0.9360,0.9360,,,1,3.75,开放申购,开放赎回,,,,
2021-12-06,0.9022,0.9022,,,1,-3.09,开放申购,开放赎回,,,,
2021-12-03,0.9310,0.9310,,,1,-1.94,开放申购,开放赎回,,,,
2021-12-02,0.9494,0.9494,,,1,-0.63,开放申购,开放赎回,,,,
2021-12-01,0.9554,0.9554,,,1,0.76,开放申购,开放赎回,,,,
2021-11-30,0.9482,0.9482,,,1,-1.22,开放申购,开放赎回,,,,
2021-11-29,0.9599,0.9599,,,1,-1.18,开放申购,开放赎回,,,,
2021-11-26,0.9714,0.9714,,,1,-3.11,开放申购,开放赎回,,,,
2021-11-25,1.0026,1.0026,,,1,1.01,开放申购,开放赎回,,,,
2021-11-24,0.9926,0.9926,,,1,-0.41,开放申购,开放赎回,,,,
2021-11-23,0.9967,0.9967,,,1,-1.29,开放申购,开放赎回,,,,
2021-11-22,1.0097,1.0097,,,1,-0.72,开放申购,开放赎回,,,,
2021-11-19,1.0170,1.0170,,,1,-0.64,开放申购,开放赎回,,,,
2021-11-18,1.0236,1.0236,,,1,-2.86,开放申购,开放赎回,,,,
2021-11-17,1.0537,1.0537,,,1,-0.26,开放申购,开放赎回,,,,
2021-11-16,1.0564,1.0564,,,1,1.92,开放申购,开放赎回,,,,
2021-11-15,1.0365,1.0365,,,1,0.14,开放申购,开放赎回,,,,
2021-11-12,1.0350,1.0350,,,1,1.16,开放申购,开放赎回,,,,
2021-11-11,1.0231,1.0231,,,1,1.50,开放申购,开放赎回,,,,
2021-11-10,1.0080,1.0080,,,1,1.95,开放申购,开放赎回,,,,
2021-11-09,0.9887,0.9887,,,1,0.12,开放申购,开放赎回,,,,
2021-11-08,0.9875,0.9875,,,1,-0.87,开放申购,开放赎回,,,,
2021-11-05,0.9962,0.9962,,,1,-1.98,开放申购,开放赎回,,,,
2021-11-04,1.0163,1.0163,,,1,1.41,开放申购,开放赎回,,,,
2021-11-03,1.0022,1.0022,,,1,-0.10,开放申购,开放赎回,,,,
2021-11-02,1.0032,1.0032,,,1,0.04,开放申购,开放赎回,,,,
2021-11-01,1.0028,1.0028,,,1,-0.92,开放申购,开放赎回,,,,
2021-10-29,1.0121,1.0121,,,1,-0.95,开放申购,开放赎回,,,,
2021-10-28,1.0218,1.0218,,,1,0.01,开放申购,开放赎回,,,,
2021-10-27,1.0217,1.0217,,,1,-2.99,开放申购,开放赎回,,,,
2021-10-26,1.0532,1.0532,,,1,-0.82,开放申购,开放赎回,,,,
2021-10-25,1.0619,1.0619,,,1,-0.13,开放申购,开放赎回,,,,
2021-10-22,1.0633,1.0633,,,1,1.58,开放申购,开放赎回,,,,
2021-10-21,1.0468,1.0468,,,1,-0.88,开放申购,开放赎回,,,,
2021-10-20,1.0561,1.0561,,,1,1.90,开放申购,开放赎回,,,,
2021-10-19,1.0364,1.0364,,,1,2.58,开放申购,开放赎回,,,,
2021-10-18,1.0103,1.0103,,,1,0.17,开放申购,开放赎回,,,,
2021-10-15,1.0086,1.0086,,,1,2.00,开放申购,开放赎回,,,,
2021-10-14,0.9888,0.9888,,,1,-0.35,暂停申购,暂停赎回,,,,
2021-10-13,0.9923,0.9923,,,1,0.17,开放申购,开放赎回,,,,
2021-10-12,0.9906,0.9906,,,1,-2.52,开放申购,开放赎回,,,,
2021-10-11,1.0162,1.0162,,,1,2.82,开放申购,开放赎回,,,,
2021-10-08,0.9883,0.9883,,,1,1.90,开放申购,开放赎回,,,,
2021-09-30,0.9699,0.9699,,,1,-1.09,开放申购,开放赎回,,,,
2021-09-29,0.9806,0.9806,,,1,-0.98,开放申购,开放赎回,,,,
